version,axis,char,family,speed,gamma,lambda,mu,sigma,converged,n_trials,n_rows,n_participants,note
excl_clamp0,nominal,か,reveal,pooled,0.01389,1.0,1.68821,0.67338,True,120,120,40,
excl_clamp0,nominal,か,reveal,300,0.01389,0.95665,1.51131,0.42788,True,57,57,19,
excl_clamp0,nominal,か,reveal,500,0.01389,1.0,1.4775,0.62694,True,63,63,21,
excl_clamp0,nominal,か,blur,pooled,0.01389,1.0,45.56228,10.0969,True,126,126,42,
excl_clamp0,nominal,か,blur,300,0.01389,1.0,47.50438,9.74698,True,63,63,21,
excl_clamp0,nominal,か,blur,500,0.01389,1.0,43.71765,10.21087,True,63,63,21,
excl_clamp0,nominal,か,wipe,pooled,0.01389,0.93353,38.42291,8.09011,True,123,123,41,
excl_clamp0,nominal,か,wipe,300,0.01389,0.90592,46.52843,10.78513,True,60,60,20,
excl_clamp0,nominal,か,wipe,500,0.01389,1.0,35.25337,6.47569,True,63,63,21,
excl_clamp0,nominal,が,fade,pooled,0.01389,0.95157,1.84781,0.20823,True,124,124,41,
excl_clamp0,nominal,が,fade,300,0.01389,1.0,1.86941,0.23062,True,64,64,21,
excl_clamp0,nominal,が,fade,500,0.01389,0.89965,1.81401,0.18129,True,60,60,20,
excl_clamp0,nominal,が,reveal,pooled,0.01389,0.92596,3.33438,0.97619,True,120,120,39,
excl_clamp0,nominal,が,reveal,300,0.01389,0.85738,4.20931,0.83304,True,60,60,19,
excl_clamp0,nominal,が,reveal,500,0.01389,0.95105,1.8048,0.33952,True,60,60,20,
excl_clamp0,nominal,が,blur,pooled,0.01389,1.0,56.54411,14.80171,True,120,120,40,
excl_clamp0,nominal,が,blur,300,0.01389,1.0,51.46873,14.1187,True,63,63,21,
excl_clamp0,nominal,が,blur,500,0.01389,0.98157,61.47911,14.21758,True,57,57,19,
excl_clamp0,nominal,が,wipe,pooled,0.01389,1.0,55.34718,0.0995,True,126,126,42,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
excl_clamp0,nominal,が,wipe,300,0.01389,1.0,93.54132,0.0995,True,63,63,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
excl_clamp0,nominal,が,wipe,500,0.01389,1.0,49.35808,0.0995,True,63,63,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
excl_clamp0,nominal,ぱ,fade,pooled,0.01389,0.96168,2.71828,0.74823,True,126,126,42,
excl_clamp0,nominal,ぱ,fade,300,0.01389,1.0,3.46876,0.93569,True,63,63,21,
excl_clamp0,nominal,ぱ,fade,500,0.01389,0.95133,2.33569,0.72724,True,63,63,21,
excl_clamp0,nominal,ぱ,reveal,pooled,0.01389,0.87005,3.44295,0.96015,True,123,123,41,
excl_clamp0,nominal,ぱ,reveal,300,0.01389,0.89144,6.27023,2.34478,True,60,60,20,
excl_clamp0,nominal,ぱ,reveal,500,0.01389,0.95214,2.46702,0.35768,True,63,63,21,
excl_clamp0,nominal,ぱ,blur,pooled,0.01389,1.0,68.84793,15.86281,True,120,120,39,
excl_clamp0,nominal,ぱ,blur,300,0.01389,1.0,70.28243,14.61406,True,60,60,20,
excl_clamp0,nominal,ぱ,blur,500,0.01389,1.0,67.35226,17.18451,True,60,60,19,
