p,ti,tgt,resp,ok,fam,gate,pct,fil,chk,rt,base,acts
B,8,す,す,1,reveal,,22,1,,1145,600,0.2
B,9,ぱ,ぱ,1,reveal,,50,0,,1392,600,0.487
B,10,つ,ら,0,wipe,,6,0,,7451,600,0.045
B,11,ふ,り,0,wipe,,34,1,,15094,600,0.334
B,12,あ,ら,0,blur,,6,0,,1729,600,0.044
B,13,が,が,1,fade,,70,0,,1487,1000,0.694
B,14,が,が,1,fade,,100,0,,1062,1000,1
B,15,わ,わ,1,fade,,100,1,,1241,1000,1
B,16,ま,ま,1,fade,,6,0,floor,1248,600,0.044
B,17,ぶ,ぶ,1,fade,,100,1,,1761,1000,1
B,18,ま,ま,1,fade,,100,0,,1189,600,1
B,19,お,お,1,fade,,22,1,,1252,600,0.199
B,20,ま,ま,1,fade,,50,0,,1270,1000,0.494
B,21,ど,ど,1,fade,,22,1,,1499,600,0.2
B,22,が,が,1,fade,,22,0,,1450,1000,0.213
B,23,が,が,1,fade,,13,0,,1140,1000,0.12
