cut,modality,char,family,mu,lambda,n_trials,n_participants
nominal_vs_actual,visual,あ,fade,1.31654,1.0,120,40
nominal_vs_actual,visual,あ,reveal,1.18683,0.95791,126,42
nominal_vs_actual,visual,あ,wipe,23.41955,1.0,120,39
nominal_vs_actual,visual,か,blur,45.56228,1.0,126,42
nominal_vs_actual,visual,か,fade,1.39455,0.93467,121,39
nominal_vs_actual,visual,か,reveal,1.68821,1.0,120,40
nominal_vs_actual,visual,か,wipe,38.42291,0.93353,123,41
nominal_vs_actual,visual,が,blur,56.54411,1.0,120,40
nominal_vs_actual,visual,が,fade,1.84781,0.95157,124,41
nominal_vs_actual,visual,が,reveal,3.33438,0.92596,120,39
nominal_vs_actual,visual,が,wipe,55.34718,1.0,126,42
nominal_vs_actual,visual,ぱ,blur,68.84793,1.0,120,39
nominal_vs_actual,visual,ぱ,fade,2.71828,0.96168,126,42
nominal_vs_actual,visual,ぱ,reveal,3.44295,0.87005,123,41
nominal_vs_actual,visual,ぱ,wipe,99.45348,0.93334,120,40
nominal_vs_actual,visual,し,blur,33.36534,0.95765,123,41
nominal_vs_actual,visual,し,fade,1.45557,1.0,121,41
nominal_vs_actual,visual,し,reveal,1.24123,0.97672,126,42
nominal_vs_actual,visual,し,wipe,17.2001,1.0,120,39
nominal_vs_actual,visual,つ,blur,31.37188,1.0,127,42
nominal_vs_actual,visual,つ,fade,1.58399,1.0,121,39
nominal_vs_actual,visual,つ,reveal,1.3001,0.96274,120,40
nominal_vs_actual,visual,つ,wipe,30.38048,0.93266,123,41
nominal_vs_actual,visual,ま,blur,44.5377,1.0,121,41
nominal_vs_actual,visual,ま,fade,1.39341,0.92972,123,41
nominal_vs_actual,visual,ま,reveal,2.40866,1.0,120,39
nominal_vs_actual,visual,ま,wipe,3.96602,0.95238,126,42
nominal_vs_actual,visual,ら,blur,47.6378,1.0,120,39
nominal_vs_actual,visual,ら,fade,1.68598,1.0,126,42
nominal_vs_actual,visual,ら,reveal,0.96721,0.87717,123,41
nominal_vs_actual,visual,ら,wipe,24.78022,0.875,121,40
