modality,char,family,type,level,main_accuracy,main_n,compare_group,decoy_level,decoy_accuracy,decoy_n,level_diff,diff
audio,ぱ,,handakuon,15.0,0.17647,34,all_decoy,15.0,0.16092,87,0.0,0.01555
audio,ぱ,,handakuon,15.0,0.17647,34,same_type_decoy,15.0,0.13636,22,0.0,0.04011
audio,ぱ,,handakuon,25.0,0.36364,33,all_decoy,25.0,0.1614,285,0.0,0.20223
audio,ぱ,,handakuon,25.0,0.36364,33,same_type_decoy,25.0,0.18519,27,0.0,0.17845
audio,ぱ,,handakuon,30.0,0.4,35,all_decoy,30.0,0.11679,137,0.0,0.28321
audio,ぱ,,handakuon,30.0,0.4,35,same_type_decoy,30.0,0.17391,23,0.0,0.22609
audio,ぱ,,handakuon,40.0,0.39394,33,all_decoy,40.0,0.18367,147,0.0,0.21027
audio,ぱ,,handakuon,40.0,0.39394,33,same_type_decoy,40.0,0.15789,19,0.0,0.23604
audio,ぱ,,handakuon,50.0,0.48485,33,all_decoy,50.0,0.25455,165,0.0,0.2303
audio,ぱ,,handakuon,50.0,0.48485,33,same_type_decoy,50.0,0.18182,22,0.0,0.30303
audio,ぱ,,handakuon,70.0,0.48571,35,all_decoy,70.0,0.50575,87,0.0,-0.02003
audio,ぱ,,handakuon,70.0,0.48571,35,same_type_decoy,70.0,0.2,5,0.0,0.28571
audio,ま,,seion,10.0,0.0,33,all_decoy,10.0,0.05911,406,0.0,-0.05911
audio,ま,,seion,10.0,0.0,33,same_type_decoy,10.0,0.08871,248,0.0,-0.08871
audio,ま,,seion,25.0,0.02857,35,all_decoy,25.0,0.1614,285,0.0,-0.13283
audio,ま,,seion,25.0,0.02857,35,same_type_decoy,25.0,0.2585,147,0.0,-0.22993
audio,ま,,seion,35.0,0.0303,33,all_decoy,35.0,0.20243,247,0.0,-0.17213
audio,ま,,seion,35.0,0.0303,33,same_type_decoy,35.0,0.28378,148,0.0,-0.25348
audio,ま,,seion,50.0,0.73529,34,all_decoy,50.0,0.25455,165,0.0,0.48075
audio,ま,,seion,50.0,0.73529,34,same_type_decoy,50.0,0.34343,99,0.0,0.39186
audio,ま,,seion,65.0,0.85294,34,all_decoy,65.0,0.45946,74,0.0,0.39348
audio,ま,,seion,65.0,0.85294,34,same_type_decoy,65.0,0.55319,47,0.0,0.29975
audio,ま,,seion,85.0,0.87879,33,all_decoy,85.0,0.50769,65,0.0,0.3711
audio,ま,,seion,85.0,0.87879,33,same_type_decoy,85.0,0.7,40,0.0,0.17879
audio,ま,,seion,125.0,0.97143,35,all_decoy,125.0,0.77419,31,0.0,0.19724
audio,ま,,seion,125.0,0.97143,35,same_type_decoy,125.0,0.77419,31,0.0,0.19724
audio,ら,,seion,10.0,0.0,33,all_decoy,10.0,0.05911,406,0.0,-0.05911
audio,ら,,seion,10.0,0.0,33,same_type_decoy,10.0,0.08871,248,0.0,-0.08871
audio,ら,,seion,25.0,0.0303,33,all_decoy,25.0,0.1614,285,0.0,-0.1311
audio,ら,,seion,25.0,0.0303,33,same_type_decoy,25.0,0.2585,147,0.0,-0.2282
audio,ら,,seion,35.0,0.05714,35,all_decoy,35.0,0.20243,247,0.0,-0.14529
audio,ら,,seion,35.0,0.05714,35,same_type_decoy,35.0,0.28378,148,0.0,-0.22664
audio,ら,,seion,50.0,0.27273,33,all_decoy,50.0,0.25455,165,0.0,0.01818
audio,ら,,seion,50.0,0.27273,33,same_type_decoy,50.0,0.34343,99,0.0,-0.07071
audio,ら,,seion,65.0,0.5,34,all_decoy,65.0,0.45946,74,0.0,0.04054
audio,ら,,seion,65.0,0.5,34,same_type_decoy,65.0,0.55319,47,0.0,-0.05319
audio,ら,,seion,85.0,0.41176,34,all_decoy,85.0,0.50769,65,0.0,-0.09593
audio,ら,,seion,85.0,0.41176,34,same_type_decoy,85.0,0.7,40,0.0,-0.28824
