char,family,gyou,type,ink_pixels,ink_quartile,gamma,lambda,mu,sigma,converged,n_trials,note,lambda_observed_full,n_full
だ,reveal,た,dakuon,8151,Q3,0.01389,1.0,2.47238,0.0089,True,18,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);full実測データなし,,0
だ,wipe,た,dakuon,8151,Q3,0.01389,1.0,82.91011,0.0995,True,27,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,4
ち,blur,た,seion,7550,Q3,0.01389,1.0,59.41802,7.68404,True,33,,1.0,5
ち,fade,た,seion,7550,Q3,0.01389,0.94406,1.20038,0.0996,True,27,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,2
ち,reveal,た,seion,7550,Q3,0.01389,1.0,2.87042,1.46283,True,30,,1.0,3
ち,wipe,た,seion,7550,Q3,0.01389,1.0,45.71545,0.0995,True,30,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,6
ぢ,blur,た,dakuon,8028,Q3,0.01389,1.0,37.38018,10.08381,True,15,,1.0,1
ぢ,fade,た,dakuon,8028,Q3,0.01389,1.0,1.75036,0.43069,True,30,,1.0,4
ぢ,reveal,た,dakuon,8028,Q3,0.01389,1.0,1.01498,0.02037,True,12,full実測データなし,,0
ぢ,wipe,た,dakuon,8028,Q3,0.01389,1.0,71.14855,0.0995,True,30,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,6
づ,blur,た,dakuon,6170,Q1(画素少),0.01389,1.0,38.8849,10.58479,True,39,,1.0,8
づ,fade,た,dakuon,6170,Q1(画素少),0.01389,0.92317,1.3076,0.0996,True,24,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,4
づ,reveal,た,dakuon,6170,Q1(画素少),0.01389,1.0,3.18217,1.27624,True,18,,1.0,3
づ,wipe,た,dakuon,6170,Q1(画素少),0.01389,1.0,67.69522,0.0995,True,30,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,3
て,blur,た,seion,5365,Q1(画素少),0.01389,1.0,41.72021,0.074,True,24,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,3
て,fade,た,seion,5365,Q1(画素少),0.01389,1.0,1.97433,2.10263,True,18,,1.0,2
て,reveal,た,seion,5365,Q1(画素少),0.01389,1.0,1.48979,0.0999,True,30,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,4
て,wipe,た,seion,5365,Q1(画素少),0.01389,1.0,24.14093,7.58398,True,15,,1.0,2
で,blur,た,dakuon,6273,Q1(画素少),0.01389,1.0,61.91933,0.074,True,18,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,5
で,fade,た,dakuon,6273,Q1(画素少),0.01389,0.9441,1.87863,0.23117,True,36,,0.83333,6
で,reveal,た,dakuon,6273,Q1(画素少),0.01389,0.76949,1.03326,0.0999,True,33,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);推定λとfull実測が0.23ポイント食い違う,1.0,2
で,wipe,た,dakuon,6273,Q1(画素少),0.01389,1.0,90.80191,0.0995,True,30,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,7
と,blur,た,seion,5959,Q1(画素少),0.01389,1.0,47.74798,0.37497,True,30,,1.0,2
と,fade,た,seion,5959,Q1(画素少),0.01389,1.0,1.40365,0.0996,True,18,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,2
と,reveal,た,seion,5959,Q1(画素少),0.01389,1.0,0.8177,0.60322,True,12,,1.0,2
と,wipe,た,seion,5959,Q1(画素少),0.01389,1.0,19.03503,0.0995,True,12,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,1
ど,blur,た,dakuon,6724,Q2,0.01389,1.0,46.12816,6.93367,True,21,,1.0,3
ど,fade,た,dakuon,6724,Q2,0.01389,1.0,1.8403,0.46109,True,24,,1.0,5
ど,reveal,た,dakuon,6724,Q2,0.01389,1.0,2.82178,1.02061,True,42,,1.0,4
ど,wipe,た,dakuon,6724,Q2,0.01389,0.0,-24.0,1.06063,True,18,muが探索範囲の端(データの外でしか立ち上がりが説明できない);full実測データなし,,0
な,blur,な,seion,8289,Q3,0.01389,0.92308,47.60838,0.41911,True,21,,1.0,2
な,fade,な,seion,8289,Q3,0.01389,1.0,2.49139,1.25112,True,18,,1.0,3
な,reveal,な,seion,8289,Q3,0.01389,1.0,0.82033,0.51237,True,16,,1.0,2
な,wipe,な,seion,8289,Q3,0.01389,1.0,50.55407,13.06969,True,21,,1.0,3
に,blur,な,seion,6145,Q1(画素少),0.01389,1.0,38.05444,0.074,True,24,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,2
に,fade,な,seion,6145,Q1(画素少),0.01389,0.94234,1.08599,0.5467,True,30,,1.0,3
に,reveal,な,seion,6145,Q1(画素少),0.01389,0.5,6.72513,0.0089,True,6,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);full実測データなし,,0
に,wipe,な,seion,6145,Q1(画素少),0.01389,1.0,37.5548,13.97178,True,18,,1.0,2
ぬ,blur,な,seion,10715,Q4(画素多),0.01389,1.0,53.73009,6.47534,True,33,,1.0,7
ぬ,fade,な,seion,10715,Q4(画素多),0.01389,1.0,2.41385,0.72813,True,24,,1.0,4
ぬ,reveal,な,seion,10715,Q4(画素多),0.01389,1.0,2.0735,0.0999,True,24,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,5
ぬ,wipe,な,seion,10715,Q4(画素多),0.01389,1.0,25.64784,0.56053,True,18,,1.0,2
ね,blur,な,seion,9726,Q4(画素多),0.01389,1.0,48.8591,11.37664,True,12,full実測データなし,,0
ね,fade,な,seion,9726,Q4(画素多),0.01389,1.0,1.38688,0.31979,True,24,,1.0,4
ね,reveal,な,seion,9726,Q4(画素多),0.01389,1.0,2.30172,0.6484,True,30,,1.0,4
ね,wipe,な,seion,9726,Q4(画素多),0.01389,1.0,32.91348,0.0995,True,36,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,4
の,blur,な,seion,8757,Q4(画素多),0.01389,1.0,38.54424,0.37321,True,25,,1.0,3
の,fade,な,seion,8757,Q4(画素多),0.01389,1.0,0.96294,0.55686,True,27,,1.0,3
の,reveal,な,seion,8757,Q4(画素多),0.01389,1.0,1.44623,0.0999,True,15,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,2
の,wipe,な,seion,8757,Q4(画素多),0.01389,0.625,2.56757,0.0995,True,12,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);推定λとfull実測が0.63ポイント食い違う,0.0,1
