cut,modality,char,family,mu,lambda,n_trials,n_participants,converged
rt_iqr,visual,し,wipe,15.46824,1.0,108,163,True
rt_iqr,visual,つ,blur,30.96246,1.0,124,163,True
rt_iqr,visual,つ,fade,1.5021,1.0,115,163,True
rt_iqr,visual,つ,reveal,1.58935,1.0,111,163,True
rt_iqr,visual,つ,wipe,31.48314,1.0,96,163,True
rt_iqr,visual,ま,blur,43.09397,1.0,117,163,True
rt_iqr,visual,ま,fade,1.38716,0.9273,120,163,True
rt_iqr,visual,ま,reveal,2.4759,1.0,112,163,True
rt_iqr,visual,ま,wipe,3.96537,0.96552,101,163,True
rt_iqr,visual,ら,blur,47.49252,1.0,114,163,True
rt_iqr,visual,ら,fade,1.59164,1.0,114,163,True
rt_iqr,visual,ら,reveal,0.96755,0.90552,115,163,True
rt_iqr,visual,ら,wipe,24.61465,0.93333,98,163,True
rt_min300,audio,あ,,19.46976,0.97605,235,89,True
rt_min300,audio,か,,33.82749,1.0,232,89,True
rt_min300,audio,が,,-19.70216,0.00862,232,89,True
rt_min300,audio,ぱ,,15.12635,0.43374,233,89,True
rt_min300,audio,し,,23.89305,0.27884,231,89,True
rt_min300,audio,つ,,3.12254,0.67659,235,89,True
rt_min300,audio,ま,,45.98001,0.91189,233,89,True
rt_min300,audio,ら,,46.0091,0.42405,231,89,True
rt_min300,visual,あ,blur,45.41926,1.0,123,163,True
rt_min300,visual,あ,fade,1.31654,1.0,120,163,True
rt_min300,visual,あ,reveal,1.18829,0.95743,126,163,True
rt_min300,visual,あ,wipe,23.41955,1.0,120,163,True
rt_min300,visual,か,blur,45.56228,1.0,126,163,True
rt_min300,visual,か,fade,1.39455,0.93467,121,163,True
rt_min300,visual,か,reveal,1.69459,1.0,120,163,True
rt_min300,visual,か,wipe,38.49607,0.93355,122,163,True
rt_min300,visual,が,blur,56.54411,1.0,120,163,True
rt_min300,visual,が,fade,1.85762,0.96762,121,163,True
rt_min300,visual,が,reveal,3.33637,0.92597,120,163,True
rt_min300,visual,が,wipe,55.34718,1.0,126,163,True
rt_min300,visual,ぱ,blur,68.84793,1.0,120,163,True
rt_min300,visual,ぱ,fade,2.71828,0.96168,126,163,True
rt_min300,visual,ぱ,reveal,3.51117,0.89908,121,163,True
rt_min300,visual,ぱ,wipe,99.45348,0.93334,120,163,True
rt_min300,visual,し,blur,32.62318,0.95233,122,163,True
rt_min300,visual,し,fade,1.45557,1.0,121,163,True
rt_min300,visual,し,reveal,1.24485,0.97666,126,163,True
rt_min300,visual,し,wipe,17.2001,1.0,120,163,True
rt_min300,visual,つ,blur,31.37188,1.0,127,163,True
rt_min300,visual,つ,fade,1.58399,1.0,121,163,True
rt_min300,visual,つ,reveal,1.61739,1.0,120,163,True
rt_min300,visual,つ,wipe,30.31764,0.93269,120,163,True
rt_min300,visual,ま,blur,44.5377,1.0,121,163,True
rt_min300,visual,ま,fade,1.43708,0.96278,120,163,True
rt_min300,visual,ま,reveal,2.4149,1.0,120,163,True
rt_min300,visual,ま,wipe,3.96602,0.95238,126,163,True
rt_min300,visual,ら,blur,47.6378,1.0,120,163,True
rt_min300,visual,ら,fade,1.68598,1.0,126,163,True
rt_min300,visual,ら,reveal,0.9923,0.89458,121,163,True
rt_min300,visual,ら,wipe,24.78022,0.875,121,163,True
full_acc>=50%,audio,あ,,19.38941,1.0,164,62,True
full_acc>=50%,audio,か,,34.40463,1.0,164,62,True
full_acc>=50%,audio,が,,83.57547,0.04762,161,62,True
full_acc>=50%,audio,ぱ,,14.9793,0.42372,165,62,True
full_acc>=50%,audio,し,,26.61383,0.34109,160,62,True
full_acc>=50%,audio,つ,,-19.71339,0.77507,164,62,True
full_acc>=50%,audio,ま,,45.98525,0.97232,163,62,True
full_acc>=50%,audio,ら,,45.65112,0.44934,161,62,True
full_acc>=50%,visual,あ,blur,44.5456,1.0,120,162,True
full_acc>=50%,visual,あ,fade,1.31654,1.0,120,162,True
full_acc>=50%,visual,あ,reveal,1.18829,0.95743,126,162,True
full_acc>=50%,visual,あ,wipe,23.41955,1.0,120,162,True
full_acc>=50%,visual,か,blur,45.56228,1.0,126,162,True
full_acc>=50%,visual,か,fade,1.39455,0.93467,121,162,True
full_acc>=50%,visual,か,reveal,1.69459,1.0,120,162,True
full_acc>=50%,visual,か,wipe,38.95907,1.0,120,162,True
full_acc>=50%,visual,が,blur,56.54411,1.0,120,162,True
full_acc>=50%,visual,が,fade,1.85762,0.96762,121,162,True
full_acc>=50%,visual,が,reveal,3.33637,0.92597,120,162,True
full_acc>=50%,visual,が,wipe,55.34718,1.0,126,162,True
full_acc>=50%,visual,ぱ,blur,68.84793,1.0,120,162,True
full_acc>=50%,visual,ぱ,fade,2.71828,0.96168,126,162,True
full_acc>=50%,visual,ぱ,reveal,3.51127,0.89914,120,162,True
full_acc>=50%,visual,ぱ,wipe,99.45348,0.93334,120,162,True
full_acc>=50%,visual,し,blur,34.115,1.0,120,162,True
full_acc>=50%,visual,し,fade,1.45557,1.0,121,162,True
full_acc>=50%,visual,し,reveal,1.24485,0.97666,126,162,True
full_acc>=50%,visual,し,wipe,17.2001,1.0,120,162,True
full_acc>=50%,visual,つ,blur,31.37188,1.0,127,162,True
full_acc>=50%,visual,つ,fade,1.58399,1.0,121,162,True
full_acc>=50%,visual,つ,reveal,1.61739,1.0,120,162,True
full_acc>=50%,visual,つ,wipe,30.31764,0.93269,120,162,True
full_acc>=50%,visual,ま,blur,44.5377,1.0,121,162,True
full_acc>=50%,visual,ま,fade,1.43708,0.96278,120,162,True
full_acc>=50%,visual,ま,reveal,2.4149,1.0,120,162,True
full_acc>=50%,visual,ま,wipe,3.96602,0.95238,126,162,True
full_acc>=50%,visual,ら,blur,47.6378,1.0,120,162,True
full_acc>=50%,visual,ら,fade,1.68598,1.0,126,162,True
full_acc>=50%,visual,ら,reveal,1.0518,0.91799,120,162,True
full_acc>=50%,visual,ら,wipe,24.78022,0.875,121,162,True
full_acc_healthy>=50%,audio,あ,,19.53368,0.97576,231,88,True
full_acc_healthy>=50%,audio,か,,34.05113,1.0,232,88,True
full_acc_healthy>=50%,audio,が,,-7.91276,0.0087,230,88,True
full_acc_healthy>=50%,audio,ぱ,,15.08832,0.42771,232,88,True
full_acc_healthy>=50%,audio,し,,23.78134,0.27942,230,88,True
full_acc_healthy>=50%,audio,つ,,0.34805,0.71248,231,88,True
full_acc_healthy>=50%,audio,ま,,46.11225,0.92056,233,88,True
full_acc_healthy>=50%,audio,ら,,45.93247,0.42392,229,88,True
full_acc_healthy>=50%,visual,あ,blur,44.5456,1.0,120,162,True
full_acc_healthy>=50%,visual,あ,fade,1.31654,1.0,120,162,True
full_acc_healthy>=50%,visual,あ,reveal,1.18829,0.95743,126,162,True
